feature,gain,weight,cover
season_summer,91655.59375,1139.0,20813.400390625
time_of_day_morning,85148.9609375,122.0,57056.515625
season_fall,81488.53125,727.0,25214.01953125
Marketing_Airline_Network_DL,54905.46484375,832.0,20231.654296875
Marketing_Airline_Network_AA,53790.1484375,1617.0,20012.029296875
distance_group_short,52255.1953125,2.0,1826.0
dep_hour,51077.22265625,8165.0,20875.806640625
DayofMonth,49885.83203125,13855.0,15709.517578125
Marketing_Airline_Network_AS,45774.734375,406.0,31963.720703125
Month,45537.78125,9404.0,15864.3603515625
Marketing_Airline_Network_B6,44051.55859375,814.0,24857.96875
DayOfWeek,43826.81640625,6417.0,13948.345703125
season_spring,41946.21875,770.0,16268.9619140625
Distance,41091.3515625,8525.0,23809.609375
CRSElapsedTime,39779.15234375,9780.0,15692.109375
Marketing_Airline_Network_F9,37186.1640625,813.0,32900.8125
Marketing_Airline_Network_UA,36156.00390625,752.0,18220.89453125
Origin,35344.3515625,9590.0,33642.4921875
time_of_day_evening,34804.33203125,502.0,9636.4921875
distance_group_long,33552.42578125,145.0,20426.787109375
Marketing_Airline_Network_WN,33345.41796875,553.0,32042.017578125
distance_group_medium,32840.1953125,308.0,6411.6787109375
Dest,31385.7265625,7411.0,31894.083984375
time_of_day_afternoon,31271.099609375,443.0,7520.7470703125
Marketing_Airline_Network_G4,31134.861328125,506.0,33194.59375
Marketing_Airline_Network_HA,28074.08203125,121.0,29119.455078125
season_winter,26530.193359375,309.0,13365.611328125
Marketing_Airline_Network_NK,19306.68359375,387.0,34183.046875
time_of_day_night,13538.48828125,88.0,44738.1484375
distance_group_very_long,8124.29248046875,6.0,149428.328125
is_weekend,0.0,0.0,0.0
